"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","oz_swing_percent","oz_contact_percent","out_zone_percent","whiff_percent","swing_percent"
"Giolito, Lucas",608337,2025,444,19.6,7.7,".310",".360",40.2,10,41.7,"80.225306313","94.921047868",68.2,28.1,57.1,48.6,22.5,48.7
"Walker, Taijuan",592836,2025,392,16.6,7.1,".316",".323",30.8,6.4,38.6,"78.264084384","93.980719452",63.7,26.6,66.3,49.8,18.4,45.2
"Quintana, Jose",500779,2025,419,16.5,8.6,".311",".351",33.8,9.6,43.1,"77.766218961","94.618001396",62.3,26.2,70.2,52.8,17.7,43.2
"Pivetta, Nick",601713,2025,555,25.9,6.5,".249",".310",36.5,10.7,43.4,"79.248132935","94.489157684",64.7,28.4,59.8,46.5,25,47.8
"Williams, Gavin",668909,2025,541,23.5,12.4,".305",".328",33,8.7,40.9,"79.348378363","94.432618772",65.2,26.4,50.2,51.4,27.8,45.2
"Smith, Shane",681343,2025,435,22.5,10.3,".306",".331",37,7.1,45.6,"79.142058129","95.236706534",69,24.3,47.2,46.8,27.8,48.1
"Heaney, Andrew",571760,2025,514,16.1,7.4,".349",".369",37.5,10.4,44.3,"79.398276508","95.034209257",65.2,28.9,67.4,48.8,19.7,47.5
"Vásquez, Randy",681190,2025,481,12.3,10.2,".321",".378",34.7,11.7,41,"78.645220769","94.551028214",64.6,24.2,69.9,47.5,15.6,45.4
"Keller, Mitch",656605,2025,601,18.6,6.5,".307",".324",33.6,6.8,42.8,"79.530672805","94.497254299",68.4,25.6,57,45.3,19.7,49
"Hendricks, Kyle",543294,2025,508,16.1,6.1,".327",".322",33.2,8.7,36.3,"74.930693077","93.474255436",63.7,31.6,74.7,48.9,17.8,48
"Gallen, Zac",668678,2025,621,21.1,8.4,".333",".349",35.7,10.4,44.5,"80.315141163","95.052597762",63.5,28.3,49.9,52.7,24.5,45
"Bello, Brayan",678394,2025,538,18,8.4,".303",".334",29.8,7.3,38.9,"76.946166042","93.957751901",66.4,27.1,56.1,50.9,20.2,46.4
"Abbott, Andrew",671096,2025,499,21,7,".276",".297",33,7.3,32.4,"77.149288171","93.114612286",69.6,29.8,63.5,49.1,23.9,50.1
"Anderson, Tyler",542881,2025,557,17.6,9.3,".345",".347",40.8,10.1,35.6,"76.272886139","93.76126928",69.4,29,57.5,51.1,25.2,48.8
"Kikuchi, Yusei",579328,2025,621,24,9.8,".325",".337",34.5,9.5,42.3,"81.314674307","95.121378069",67.6,27,57.9,47.3,23.5,48.4
"Gray, Sonny",543243,2025,577,26.9,4.2,".312",".312",36.5,9.7,38.8,"76.957051888","94.29895954",63.4,31.6,46.4,48.5,26.6,48
"Boyd, Matthew",571510,2025,558,22.6,5.4,".268",".290",29.7,7.8,37,"76.858305744","93.788030923",70.7,29.9,61.8,46,22.5,51.9
"Suárez, Ranger",624133,2025,465,21.7,6.2,".289",".291",30.9,5.8,29.1,"73.323226159","92.658098354",65.1,31,65.4,49.2,21.5,48.3
"Crochet, Garrett",676979,2025,611,30.8,6.5,".270",".278",31.4,7.3,37.7,"75.060543723","93.979250346",68.8,32.2,49.7,47.2,29.4,51.5
"Sánchez, Cristopher",650911,2025,609,25.8,5.9,".266",".280",26.6,5.4,40.2,"77.881500542","94.383555383",65.3,30.8,51.4,48.7,29.2,48.5
"Castillo, Luis",622491,2025,595,21,6.4,".308",".325",32.6,10.1,47.2,"79.363697783","95.136800189",73.9,28.4,59.8,49.7,23.8,51.3
"Nelson, Ryne",669194,2025,458,21.6,6.6,".286",".320",36.6,8.3,43.7,"81.953020988","94.91477678",71.5,26.8,61.2,47,21.7,50.5
"Sugano, Tomoyuki",608372,2025,538,15.2,5.9,".324",".372",38.6,11.3,39.6,"79.524258309","94.215016184",66.9,29.4,65.6,51.9,17.8,47.5
"Corbin, Patrick",571578,2025,509,19.4,7.9,".332",".337",36.1,7.3,37.8,"77.71295558","93.964675414",63.7,30.2,52.2,52.4,25.9,46.2
"Holmes, Clay",605280,2025,540,18.7,9.6,".312",".333",30.2,6.9,42.3,"78.326841064","94.84293744",61,28.4,58.4,51.1,21.9,44.4
"Skenes, Paul",694973,2025,581,28.6,6.2,".252",".261",30.8,5.1,40.2,"75.688862919","93.902052514",68.5,29.6,52.7,49.5,30,49.2
"May, Dustin",669160,2025,495,22,9.1,".329",".344",33.8,8.2,44.7,"79.609415427","95.091662783",62.9,25,60.1,48.2,20.9,44.7
"Pfaadt, Brandon",694297,2025,582,18.6,5.2,".348",".378",39,12,46.9,"80.038948372","95.596376791",69.3,30.2,59.5,49.9,21.6,49.8
"Mikolas, Miles",571945,2025,501,15.8,5,".335",".355",34.4,11.9,42,"78.096134898","94.588774092",64.9,25.2,72.1,43.4,17,47.7
"Webb, Logan",657277,2025,642,26.2,5.5,".307",".310",34.3,8.1,41.2,"78.596816822","94.868287119",63.6,29.1,52.6,49.8,24.2,46.4
"Parker, Mitchell",680730,2025,567,14.8,8.6,".343",".374",36.2,9.3,51,"82.168479014","95.769910659",69.3,29.1,58.5,46.7,19.6,50.5
"Bassitt, Chris",605135,2025,600,22,6.5,".332",".327",34.1,8.6,35.5,"75.114608696","93.771760628",67.2,26,63.3,47.5,22.7,47.6
"Gusto, Ryan",687473,2025,405,23.5,7.4,".331",".325",32.6,9.1,45.3,"79.968608832","94.956171423",69,25.1,58.7,45.3,24.7,49.1
"Lugo, Seth",607625,2025,544,20.2,8.6,".319",".357",33.9,10.2,46.2,"80.288102169","95.097906472",63.5,24.5,60.2,48.4,20.8,44.6
"Elder, Bryce",693821,2025,478,18.2,8.6,".360",".364",35.1,8.7,45.8,"78.352655291","95.296895831",65.3,26.1,52.7,52.2,21.4,44.9
"Luzardo, Jesús",666200,2025,588,26.9,8.2,".310",".303",34.1,6.6,39.6,"78.878749947","94.112953673",65,30.7,46.1,50.2,29.9,47.8
"Mize, Casey",663554,2025,469,22,6.2,".314",".303",36.2,9.3,41.3,"79.056930659","94.330415706",69,27.8,63.7,47.6,23.6,49.4
"Rea, Colin",607067,2025,510,17.6,6.5,".327",".345",38.5,10.2,41.1,"79.740910794","94.490607401",66.7,27.2,62.1,49.5,20.3,47.2
"Ryan, Joe",657746,2025,543,28.2,5,".263",".290",32.4,11.1,41.5,"80.057366857","94.469294857",69.4,25.3,59.3,44.7,26.4,49.7
"Kochanowicz, Jack",686799,2025,488,14.5,11.3,".368",".361",26.1,8.4,48.3,"81.673826158","95.550309773",69.6,27.1,57.3,51,21.1,47.9
"Pepiot, Ryan",686752,2025,578,23.9,8.5,".319",".324",36,10.1,42.5,"79.115870052","94.951578747",69.5,29,59.7,46.5,25.1,50.7
"Bibee, Tanner",676440,2025,579,21.4,7.4,".322",".307",29.1,7.9,39,"77.55189015","94.240398997",65.4,24.5,53.5,48.1,24.4,45.7
"Falter, Bailey",663559,2025,505,15.6,8.9,".319",".346",31.8,9.5,45.5,"79.630126596","94.979614335",65.9,24.1,65.4,46.2,18,46.6
"Rodón, Carlos",607074,2025,595,27.6,9.7,".270",".287",32.6,8.4,39.7,"78.213748619","94.310917036",63.2,29.1,44.9,54.2,31.3,44.7
"Woo, Bryan",693433,2025,600,25.5,4.7,".270",".284",33.2,9.1,41.3,"77.618082718","94.47272699",72.2,29.3,55,43.7,25.8,53.5
"Rodriguez, Eduardo",593958,2025,507,21.9,8.5,".370",".332",35.6,8.3,34.5,"77.097555906","93.754858827",67.7,28.8,66.3,53.1,23.5,47
"Springs, Jeffrey",605488,2025,559,19.5,7.3,".302",".322",37.1,8.1,37.8,"77.183452228","93.848687005",66.7,28.6,58.1,51.6,25.1,47
"Patrick, Chad",694477,2025,400,23.8,7.5,".314",".323",40.2,7.7,43.9,"79.373441866","94.622170075",71.6,28.9,68.3,50.1,22.6,50.2
"deGrom, Jacob",594798,2025,543,27.3,5.5,".258",".289",32,8.3,41.2,"79.247552291","94.305844832",71.5,32.6,46.3,49.1,30.3,52.4
"Morton, Charlie",450203,2025,532,22.9,10,".349",".333",32.6,8.1,43,"81.215971294","94.790243353",67.8,27.8,46.9,50.5,27.6,47.6
"Buehler, Walker",621111,2025,477,16.4,10.3,".359",".372",35.3,9.7,39.7,"76.300187515","94.321596647",65.9,26,65.1,52.8,19.4,44.9
"Priester, Quinn",682990,2025,515,19.4,7.8,".314",".312",27.2,7.3,41.9,"79.239143661","94.488446521",66.1,25.7,50.4,48.8,23.8,46.4
"Taillon, Jameson",592791,2025,388,19.1,5.2,".318",".332",35.4,10.5,40.1,"76.642634759","94.089968448",65.2,28.9,59.9,46.8,21.3,48.2
