"last_name, first_name",player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,whiff_percent,swing_percent
"Severino, Luis",622663,598,17.2,7.4,0.316,0.34,34.5,5.9,43.4,75.830235648,94.610094491,67.4,26.7,72.6,48.9,17.6,47.5
"Singer, Brady",663903,534,22.3,9.0,0.32,0.33,36.5,9.2,41.8,80.335028989,94.722715983,64.3,25.7,55.2,49.7,23.8,45.1
"Skenes, Paul",694973,581,28.6,6.2,0.252,0.261,30.8,5.1,40.2,75.688862919,93.902052514,68.5,29.6,52.7,49.5,30.0,49.2
"Skubal, Tarik",669373,581,32.7,4.0,0.239,0.264,36.3,8.0,33.0,73.951089448,93.228680746,71.1,34.2,47.6,44.5,32.8,54.7
"Smith, Shane",681343,435,22.5,10.3,0.306,0.331,37.0,7.1,45.6,79.142058129,95.236706534,69.0,24.3,47.2,46.8,27.8,48.1
"Soriano, José",667755,608,20.6,10.4,0.303,0.32,25.8,7.7,48.2,80.300381379,95.925221034,64.2,28.2,45.8,51.5,27.1,45.7
"Springs, Jeffrey",605488,559,19.5,7.3,0.302,0.322,37.1,8.1,37.8,77.183452228,93.848687005,66.7,28.6,58.1,51.6,25.1,47.0
"Sugano, Tomoyuki",608372,538,15.2,5.9,0.324,0.372,38.6,11.3,39.6,79.524258309,94.215016184,66.9,29.4,65.6,51.9,17.8,47.5
"Suárez, Ranger",624133,465,21.7,6.2,0.289,0.291,30.9,5.8,29.1,73.323226159,92.658098354,65.1,31.0,65.4,49.2,21.5,48.3
"Sánchez, Cristopher",650911,609,25.8,5.9,0.266,0.28,26.6,5.4,40.2,77.881500542,94.383555383,65.3,30.8,51.4,48.7,29.2,48.5
"Taillon, Jameson",592791,388,19.1,5.2,0.318,0.332,35.4,10.5,40.1,76.642634759,94.089968448,65.2,28.9,59.9,46.8,21.3,48.2
"Valdez, Framber",664285,625,24.2,8.0,0.283,0.305,28.7,6.5,46.4,79.829024515,95.204705061,64.1,29.8,45.8,48.5,26.3,47.5
"Verlander, Justin",434378,468,20.3,7.7,0.333,0.334,38.9,9.0,38.0,78.787010241,94.031199699,68.9,26.6,59.5,48.0,24.9,48.6
"Vásquez, Randy",681190,481,12.3,10.2,0.321,0.378,34.7,11.7,41.0,78.645220769,94.551028214,64.6,24.2,69.9,47.5,15.6,45.4
"Wacha, Michael",608379,563,17.9,6.6,0.283,0.317,37.8,7.6,32.8,75.767072244,93.256608244,70.4,28.4,62.5,46.7,22.4,50.7
"Walker, Taijuan",592836,392,16.6,7.1,0.316,0.323,30.8,6.4,38.6,78.264084384,93.980719452,63.7,26.6,66.3,49.8,18.4,45.2
"Warren, Will",701542,532,26.3,10.2,0.313,0.32,34.3,9.6,44.5,80.391313879,95.02562845,61.5,24.3,59.4,51.5,25.5,42.3
"Webb, Logan",657277,642,26.2,5.5,0.307,0.31,34.3,8.1,41.2,78.596816822,94.868287119,63.6,29.1,52.6,49.8,24.2,46.4
"Wheeler, Zack",554430,585,33.3,5.6,0.264,0.253,36.7,7.2,34.1,76.480608966,93.227809971,69.4,31.2,49.6,49.9,31.5,50.3
"Williams, Gavin",668909,541,23.5,12.4,0.305,0.328,33.0,8.7,40.9,79.348378363,94.432618772,65.2,26.4,50.2,51.4,27.8,45.2
"Woo, Bryan",693433,600,25.5,4.7,0.27,0.284,33.2,9.1,41.3,77.618082718,94.47272699,72.2,29.3,55.0,43.7,25.8,53.5
"Yamamoto, Yoshinobu",808967,512,28.3,8.6,0.265,0.274,28.4,5.9,40.9,77.86399956,94.603915931,63.6,29.0,52.0,50.4,27.2,46.2
"deGrom, Jacob",594798,543,27.3,5.5,0.258,0.289,32.0,8.3,41.2,79.247552291,94.305844832,71.5,32.6,46.3,49.1,30.3,52.4
